"id","title","authors","year","doi","venue","item_type","source","zotero_key","collection_key","pdf_path","url","abstract","confidence"
"P01","Multiple Emitter Location and Signal Parameter Estimation","R. O. Schmidt","1986","10.1109/TAP.1986.1143830","IEEE Transactions on Antennas and Propagation","journalArticle","web-metadata","","","","https://doi.org/10.1109/TAP.1986.1143830","Original MUSIC formulation; baseline subspace DOA method that later coherent-source work modifies because coherent sources can make the covariance rank deficient.","metadata-only"
"P02","On Spatial Smoothing for Direction-of-Arrival Estimation of Coherent Signals","T.-J. Shan; M. Wax; T. Kailath","1985","10.1109/TASSP.1985.1164649","IEEE Transactions on Acoustics, Speech, and Signal Processing","journalArticle","web-metadata","","","","https://doi.org/10.1109/TASSP.1985.1164649","Classic spatial smoothing paper for coherent-signal DOA; directly relevant to restoring rank before applying MUSIC.","metadata-only"
"P03","Forward/Backward Spatial Smoothing Techniques for Coherent Signal Identification","S. U. Pillai; B. H. Kwon","1989","10.1109/29.17496","IEEE Transactions on Acoustics, Speech, and Signal Processing","journalArticle","web-metadata","","","","https://doi.org/10.1109/29.17496","Forward-backward smoothing extension; close to the FBSS/MSSP logic in the local codebase.","metadata-only"
"P04","Direction Finding of Coherent Signals via Spatial Smoothing for Uniform Circular Arrays","M. Wax; J. Sheinvald","1994","10.1109/8.299559","IEEE Transactions on Antennas and Propagation","journalArticle","web-metadata","","","","https://doi.org/10.1109/8.299559","Adapts spatial smoothing ideas to circular arrays; relevant because the current algorithm works on a cylindrical/circular-column geometry rather than a pure ULA.","metadata-only"
"P05","Superresolution of Coherent Sources by Using a Cylindrical Array Antenna with the Spatial Smoothing Technique","M. D. Zoltowski; T. Mathews; S. Y. Kung","1995","","IEICE Transactions / conference-indexed metadata","conferencePaper","web-metadata","","","","https://cir.nii.ac.jp/crid/1574231877061677440","Very relevant by array type: coherent-source superresolution using cylindrical array plus spatial smoothing. Needs manual retrieval for full details.","metadata-only"
"P06","A Beamspace Transform for UCA: Error Analysis and Bias Reduction","S. Belloni; V. Koivunen","2006","10.1109/TSP.2006.877664","IEEE Transactions on Signal Processing","journalArticle","web-metadata","","","","https://doi.org/10.1109/TSP.2006.877664","Beamspace transform and UCA error/bias considerations; useful background for why local true-geometry/shared-center steering may be preferable to a broad approximate transform.","metadata-only"
"P07","Improved Spatial Differencing Scheme for 2-D DOA Estimation of Coherent Signals Using Uniform Rectangular Arrays","H. Chen; W. Wang; W. Liu","2017","10.3390/s17091956","Sensors","journalArticle","open-web","","","","https://doi.org/10.3390/s17091956","2D coherent-source DOA approach using spatial differencing; maps to the current large-elevation branch using 2D information rather than layer-2 compression.","abstract-read"
"P08","Two-Dimensional Direction-of-Arrival Estimation of Coherent Signals Using Two Parallel Uniform Linear Arrays","D. Shi; X. Yang; X. Li; Q. Huang","2017","10.1186/s13638-017-0844-0","EURASIP Journal on Wireless Communications and Networking","journalArticle","open-web","","","","https://doi.org/10.1186/s13638-017-0844-0","2D coherent DOA using structured arrays; relevant to branch C and pair-local refinement concepts.","abstract-read"
"P09","Direction-of-Arrival Estimation for Circulating Space-Time Coding Arrays: From Beamspace MUSIC to Spatial Smoothing in Transform Domain","L. Wang; L. Wan; G. Han; S. Chan; T. Zhu","2018","10.3390/s18113689","Sensors","journalArticle","open-web","","","","https://doi.org/10.3390/s18113689","Shows a path from beamspace MUSIC to spatial smoothing in a transformed domain; relevant to using transform/local subspace processing for coherent sources.","abstract-read"
"P10","Grid-Less DOA Estimation of Coherent Sources Based on the Covariance Matrix Recovery","Z. Wu; Z. Huang; Y. Zhou; J. Wu","2021","10.1016/j.phycom.2021.101345","Physical Communication","journalArticle","web-metadata","","","","https://doi.org/10.1016/j.phycom.2021.101345","Covariance-matrix recovery for coherent sources; relevant as a future alternative to rank1/covfit fallback, but likely heavier than the current engineering cascade.","metadata-only"
"P11","An Enhanced DOA Estimation Method for Coherent Sources via Toeplitz Matrix Reconstruction and Khatri-Rao Subspace","Y. Qi; H. Zhang; H. Zhu; H. Wang","2023","10.3390/electronics12204268","Electronics","journalArticle","open-web","","","","https://doi.org/10.3390/electronics12204268","Recent covariance reconstruction plus Khatri-Rao subspace method; useful comparison for coherent-source rank restoration beyond standard smoothing.","abstract-read"
"P12","An Enhanced Spatial Smoothing Technique of Coherent DOA Estimation with Moving Coprime Array","K. Yang; Z. Zhao; X. Zhang; Y. Sun","2023","10.3390/s23198048","Sensors","journalArticle","open-web","","","","https://doi.org/10.3390/s23198048","Improves spatial smoothing for coherent DOA with moving coprime arrays; relevant to the idea that smoothing can be engineered for aperture/complexity tradeoffs.","abstract-read"
"P13","DOA Estimation Based on Improved Spatial-Smoothing Technique","Y. Wang; L. Shi; Y. Li; X. Ma; Y. Wang","2024","10.3390/math12010045","Mathematics","journalArticle","open-web","","","","https://doi.org/10.3390/math12010045","Improved smoothing and covariance usage for coherent sources; useful as a recent comparison point for low-complexity coherent-source MUSIC enhancement.","abstract-read"
